Country,Climate,Average Temperature [C] ,Average Precipitation [mm],Average Number of Days With Precipitation [Days],Average Number of Rainy Days [Days],Average Morning Relative Humidity [%],Average Evening Relative Humidity [%],Average Dew Point [C],Average Wind Speed [km/h]
Alabama,,14.2,152.4,8.7,10,81,48,6.8,12.1
Alaska,,1,96.5,18.9,18,85,69,-2.7,12.7
Arizona,,18.4,25.4,3.9,4,57,25,1.4,10.3
Arkansas,,11.9,119.4,9.8,10,78,50,5.1,14
California,,12.6,71.1,9.1,9,85,52,7.1,11.3
Colorado,,4.4,33,7.4,9,67,39,-7,
Connecticut,,2.9,97,11,11,72,51,-4.7,15
Delaware,,6.9,100,10,6,,,,
Florida,,15.8,149.9,7.9,9,88,49,8.8,10.5
Georgia,,12.4,121.9,9.7,11,78,48,3.9,15.9
Hawaii,,23.6,50.8,8.8,9,78,62,17.1,16.6
Idaho,,6.9,35.6,10,10,75,45,-1.6,14.2
Illinois,,5.6,66,10.7,12,81,59,-0.2,18.7
Indiana,,5.7,91.4,11.9,13,79,59,-0.6,18
Iowa,,4.1,58.4,9.7,10,80,57,-2.7,18.2
Kansas,,7.1,63.5,9,9,79,51,-0.1,15.9
Kentucky,,7.1,111,11,11,,,,
Louisiana,,16,121,9,9,86,52,9.9,12.6
Maine,,,80,,6,,,-6,
Maryland,,7,108,10,,,,,
Massachusetts,,3.4,101,12,12,69,57,-3.6,21.1
Michigan,,1.7,53.3,11.2,14,83,62,-3.6,16.7
Minnesota,,0.9,40.6,,,,,,14
Mississippi,,13.7,133,10,10,87,51,7.3,12.6
Missouri,,6.6,75,9,8.5,,,,14.8
Montana,,2.4,15.2,5,8,73,48,-5.8,11.9
Nebraska,,3.8,39,7,9,81,55,-2.1,18
Nevada,,5.5,30,6,,,,,
New Hampshire,,0.4,82,11,11,76,52,-6.2,12.1
New Jersey,,5.2,99,11,,,,,14.8
New Mexico,,5.9,20.3,5,1,,,-7,15.8
New York,,1.9,69,11,12,76,54,-4.8,15.6
North Carolina,,10.9,104.1,9.8,10,80,46,2.3,13
North Dakota,,-1.2,22.9,7.9,8,82,59,-6.1,16.6
Ohio,,5.5,76.2,9,14,76,55,-1.4,14.6
Oklahoma,,10,65,7,7,76,47,1,
Oregon,,8.3,101.6,17,17,88,62,4.1,11.6
Pennsylvania,,5.2,83.8,10.7,11,70,49,-3,
Rhode Island,,3.4,116,12,12,71,54,-3.6,17.7
South Carolina,,13.1,94,8.6,11,84,44,4.7,12.4
South Dakota,,,20,,2,,,-6,
Tennessee,,9.8,123,11,12,80,51,2.4,14.2
Texas,,16,57,8,7,80,47,9.2,13.5
Utah,,6.4,45.7,10,10,71,47,-1.8,14.6
Vermont,,-2.8,58,12,5,,,-6,
Virginia,,9.2,101.6,10.3,11,78,46,1.1,15
Washington,,6.9,130,17,18,91,61,3.3,10.5
West Virginia,,7.4,100,15,15,75,49,,9.7
Wisconsin,,1.1,55.9,10,11,81,59,-4.2,15.9
Wyoming,,2.2,27.9,8.6,9,60,42,-7,22
